Year,Simpanan Konvensional,Simpanan Shariah
2024,6.3,6.3
2023,5.5,5.4
2022,5.35,4.75
2021,6.1,5.65
2020,5.2,4.9
2019,5.45,5.0
2018,6.15,5.9
2017,6.9,6.4
2016,5.7,
2015,6.4,
2014,6.75,
2013,6.35,
2012,6.15,
2011,6.0,
2010,5.8,
2009,5.65,
2008,4.5,
2007,5.8,
2006,5.15,
2005,5.0,
2004,4.75,
2003,4.5,
2002,4.25,
2001,5.0,
2000,6.0,
1999,6.84,
1997-1998,6.7,
1996,7.7,
1995,7.5,
1988-1994,8.0,
1983-1987,8.5,
1980-1982,8.0,
1979,7.25,
1976-1978,7.0,
1974-1975,6.6,
1972-1973,5.85,
1971,5.8,
1968-1970,5.75,
1965-1967,5.5,
1964,5.25,
1963,5.0,
1960-1962,4.0,
1952-1959,2.5,
