Date,USD,GBP,EUR,JPY100,CHF,AUD,CAD,SGD,HKD100
2 Jan 2004,3.8000,6.7684,4.7757,3.5546,3.0619,2.8586,2.9286,2.2361,48.9451
5 Jan 2004,3.8000,6.8244,4.8100,3.5529,3.0823,2.8996,2.9532,2.2355,48.9438
6 Jan 2004,3.8000,6.8670,4.8194,3.5803,3.0840,2.9163,2.9670,2.2367,48.9495
7 Jan 2004,3.8000,6.9149,4.8319,3.5726,3.0807,2.9182,2.9511,2.2381,48.9483
8 Jan 2004,3.8000,6.8951,4.7863,3.5793,3.0487,2.9159,2.9424,2.2386,48.9483
9 Jan 2004,3.8000,6.9671,4.8505,3.5790,3.0958,2.9460,2.9728,2.2424,48.9486
12 Jan 2004,3.8000,7.0184,4.8805,3.5706,3.1128,2.9574,2.9886,2.2463,48.9514
13 Jan 2004,3.8000,7.0226,4.8475,3.5672,3.1006,2.9562,2.9816,2.2427,48.9514
14 Jan 2004,3.8000,7.0131,4.8395,3.5773,3.1037,2.9517,2.9845,2.2441,48.9457
15 Jan 2004,3.8000,6.9677,4.8087,3.5780,3.0828,2.9437,2.9491,2.2419,48.9470
16 Jan 2004,3.8000,6.9331,4.7850,3.5797,3.0538,2.9300,2.9340,2.2360,48.9489
19 Jan 2004,3.8000,6.8362,4.7027,3.5667,2.9979,2.8760,2.9188,2.2247,48.9325
20 Jan 2004,3.8000,6.7881,4.7042,3.5344,2.9944,2.8798,2.9190,2.2190,48.9312
21 Jan 2004,3.8000,6.9019,4.7768,3.5448,3.0423,2.9182,2.9413,2.2316,48.9136
26 Jan 2004,3.8000,6.9379,4.7768,3.5793,3.0560,2.9384,2.8941,2.2399,48.9281
27 Jan 2004,3.8000,6.8938,4.7361,3.5800,3.0227,2.9232,2.8960,2.2395,48.9249
28 Jan 2004,3.8000,6.9392,4.7931,3.5888,3.0580,2.9539,2.9071,2.2410,48.9382
29 Jan 2004,3.8000,6.9132,4.7377,3.5814,3.0268,2.9327,2.8652,2.2360,48.9079
30 Jan 2004,3.8000,6.9018,4.7152,3.5861,3.0172,2.9026,2.8547,2.2323,48.8809
4 Feb 2004,3.8000,6.9721,4.7549,3.6055,3.0333,2.8992,2.8415,2.2434,48.8777
